S_min,#C_min_0,#C_min_1,#C_min_2,#C_min_3,#C_min_4,#C_min_5,#C_min_6
0.690000,-76.292717,-73.788247,-71.292082,-nan,-nan,-nan,-nan
0.700000,-76.696464,-74.196464,-nan,-nan,-nan,-nan,-nan
0.710000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0.720000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0.730000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0.740000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0.750000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0.760000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0.770000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0.780000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0.790000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0.800000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0.810000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0.820000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0.830000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0.840000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0.850000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0.860000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0.870000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0.880000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0.890000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0.900000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0.910000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0.920000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0.930000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0.940000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0.950000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0.960000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0.970000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0.980000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0.990000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
1.000000,-nan,-nan,-nan,-nan,-nan,-nan,-nan


S_avg,#C_avg_0,#C_avg_1,#C_avg_2,#C_avg_3,#C_avg_4,#C_avg_5,#C_avg_6
-0.500000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-0.495000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-0.490000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-0.485000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-0.480000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-0.475000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-0.470000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-0.465000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-0.460000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-0.455000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-0.450000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-0.445000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-0.440000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-0.435000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-0.430000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-0.425000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-0.420000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-0.415000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-0.410000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-0.405000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-0.400000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-0.395000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-0.390000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-0.385000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-0.380000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-0.375000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-0.370000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-0.365000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-0.360000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-0.355000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-0.350000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-0.345000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-0.340000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-0.335000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-0.330000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-0.325000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-0.320000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-0.315000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-0.310000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-0.305000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-0.300000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-0.295000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-0.290000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-0.285000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-0.280000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-0.275000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-0.270000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-0.265000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-0.260000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-0.255000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-0.250000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-0.245000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-0.240000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-0.235000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-0.230000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-0.225000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-0.220000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-0.215000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-0.210000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-0.205000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-0.200000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-0.195000,-64.351962,-nan,-nan,-nan,-nan,-nan,-nan
-0.190000,-64.353567,-nan,-nan,-nan,-nan,-nan,-nan
-0.185000,-64.354714,-nan,-nan,-nan,-nan,-nan,-nan
-0.180000,-64.357147,-nan,-nan,-nan,-nan,-nan,-nan
-0.175000,-64.358000,-nan,-nan,-nan,-nan,-nan,-nan
-0.170000,-64.360987,-nan,-nan,-nan,-nan,-nan,-nan
-0.165000,-64.364538,-nan,-nan,-nan,-nan,-nan,-nan
-0.160000,-64.365653,-nan,-nan,-nan,-nan,-nan,-nan
-0.155000,-64.366198,-nan,-nan,-nan,-nan,-nan,-nan
-0.150000,-64.367899,-nan,-nan,-nan,-nan,-nan,-nan
-0.145000,-64.372500,-nan,-nan,-nan,-nan,-nan,-nan
-0.140000,-64.371725,-62.055192,-nan,-nan,-nan,-nan,-nan
-0.135000,-64.373615,-nan,-nan,-nan,-nan,-nan,-nan
-0.130000,-64.378113,-62.048033,-nan,-nan,-nan,-nan,-nan
-0.125000,-64.377198,-62.040055,-nan,-nan,-nan,-nan,-nan
-0.120000,-64.379670,-62.060165,-nan,-nan,-nan,-nan,-nan
-0.115000,-64.382010,-62.062879,-nan,-nan,-nan,-nan,-nan
-0.110000,-64.384919,-62.065892,-nan,-nan,-nan,-nan,-nan
-0.105000,-64.386416,-62.055625,-nan,-nan,-nan,-nan,-nan
-0.100000,-64.389772,-62.060947,-nan,-nan,-nan,-nan,-nan
-0.095000,-64.391404,-62.061549,-nan,-nan,-nan,-nan,-nan
-0.090000,-64.395321,-62.069707,-nan,-nan,-nan,-nan,-nan
-0.085000,-64.397798,-62.072989,-59.611761,-nan,-nan,-nan,-nan
-0.080000,-64.401739,-62.061753,-nan,-nan,-nan,-nan,-nan
-0.075000,-64.404557,-62.077859,-59.627493,-nan,-nan,-nan,-nan
-0.070000,-64.409454,-62.072332,-59.629282,-nan,-nan,-nan,-nan
-0.065000,-64.410817,-62.072976,-nan,-nan,-nan,-nan,-nan
